fixed_costs,variable_cost_per_unit,price_per_unit,units_sold,marketing_spend,employee_count,total_revenue,total_costs,profit_or_loss,status
16795,33.15,50.25,1853,10617,38,93113.25,107838.95,-14725.7,Loss
1860,30.72,116.3,2301,13272,101,267606.3,136318.72,131287.58,Profit
6390,13.32,82.31,2950,4493,34,242814.5,67177,175637.5,Profit
12964,7.68,60.17,1643,19482,121,98859.31,105564.24,-6704.93,Loss
12284,32.2,115.39,482,2166,173,55617.98,116470.4,-60852.42,Loss
7265,39.37,81.88,3867,16812,87,316629.96,219820.79,96809.17,Profit
17850,28.55,48.76,4967,11773,160,242190.92,251430.85,-9239.93,Loss
5426,15.2,44.4,1120,14838,110,49728,92288,-42560,Loss
15423,34.99,86,4650,5257,67,399900,216883.5,183016.5,Profit
12363,8.6,62.2,164,11860,191,10200.8,121133.4,-110932.6,Loss
17023,24.88,105.63,1489,18438,183,157283.07,164007.32,-6724.25,Loss
9322,12.35,91.69,1840,6615,43,168709.6,60161,108548.6,Profit
2685,13.3,71.86,1044,5937,123,75021.84,84007.2,-8985.36,Loss
1769,14.1,92.4,4368,9772,22,403603.2,84129.8,319473.4,Profit
3433,22.4,42.39,4781,12626,87,202666.59,166653.4,36013.19,Profit
6311,7.3,13.26,4817,16971,196,63873.42,156446.1,-92572.68,Loss
6051,22.9,110.39,1007,7615,77,111162.73,75226.3,35936.43,Profit
7420,28.03,36.51,145,3203,125,5293.95,77187.35,-71893.4,Loss
18568,26.75,52.17,2204,11651,96,114982.68,137176,-22193.32,Loss
7396,22.23,92.07,681,19302,122,62699.67,102836.63,-40136.96,Loss
9666,42.76,84.3,3734,4647,157,314776.2,252478.84,62297.36,Profit
19942,11.54,99.3,1751,2247,40,173874.3,62395.54,111478.76,Profit
19431,27.76,58.26,747,8732,104,43520.22,100899.72,-57379.5,Loss
3747,7.79,9.97,81,15651,173,807.57,106528.99,-105721.42,Loss
1189,8.2,38.96,4924,10830,119,191839.04,111895.8,79943.24,Profit
4005,30.82,89.05,598,16922,138,53251.9,108357.36,-55105.46,Loss
2899,30.47,68.69,2298,11776,173,157849.62,171195.06,-13345.44,Loss
2267,44.51,98.46,1943,19035,120,191307.78,167784.93,23522.85,Profit
18912,30.1,117.88,2884,4437,17,339965.92,118657.4,221308.52,Profit
12394,48.19,139.53,1753,7386,102,244596.09,155257.07,89339.02,Profit
4556,7.19,34.52,1206,10782,130,41631.12,89009.14,-47378.02,Loss
4890,9.41,56.16,393,708,145,22070.88,81796.13,-59725.25,Loss
9838,6.98,62.35,4122,1099,108,257006.7,93708.56,163298.14,Profit
15502,13.34,108.3,3512,4209,90,380349.6,111561.08,268788.52,Profit
11627,29.36,129.22,2298,17097,119,296947.56,155693.28,141254.28,Profit
9792,34.05,58.36,994,6223,166,58009.84,132860.7,-74850.86,Loss
11555,7.05,80.02,3930,14504,165,314478.6,136265.5,178213.1,Profit
11253,47.57,86,2100,10268,63,180600,152918,27682,Profit
9433,42.9,44.7,3335,10816,5,149074.5,165820.5,-16746,Loss
11233,18.35,20.27,2905,19292,25,58884.35,96331.75,-37447.4,Loss
12016,8.47,55.07,1380,8472,73,75996.6,68676.6,7320,Profit
3612,12.64,61.99,2053,17706,124,127265.47,109267.92,17997.55,Profit
16787,10.71,13.94,3665,19479,22,51090.1,86518.15,-35428.05,Loss
18159,10.55,79.56,1837,16046,93,146151.72,100085.35,46066.37,Profit
13206,28.34,58.45,2296,10791,191,134201.2,184565.64,-50364.44,Loss
9226,16.06,72.49,3722,12294,35,269807.78,98795.32,171012.46,Profit
15541,21.12,51.91,2205,12159,55,114461.55,101769.6,12691.95,Profit
4152,49.53,67.08,3529,8483,128,236725.32,251426.37,-14701.05,Loss
2585,35.79,77.1,3070,7000,20,236697,129460.3,107236.7,Profit
4943,47.7,71.7,101,2134,5,7241.7,14394.7,-7153,Loss
2021,11.42,65.37,2209,14559,167,144402.33,125306.78,19095.55,Profit
12653,22.2,42.88,4440,5314,63,190387.2,148035,42352.2,Profit
11805,29.96,81.29,3701,18051,32,300854.29,156737.96,144116.33,Profit
14417,8.45,25.03,3965,4576,191,99243.95,147997.25,-48753.3,Loss
8989,5.19,72.62,2162,8890,74,157004.44,66099.78,90904.66,Profit
10692,35.17,110.81,2671,5942,168,295973.51,194573.07,101400.44,Profit
13990,33.88,45.81,4610,4005,145,211184.1,246681.8,-35497.7,Loss
7873,23.49,70.8,4779,17686,101,338353.2,188317.71,150035.49,Profit
6675,27.03,35.05,1404,1002,79,49210.2,85127.12,-35916.92,Loss
1161,23.69,83.91,3804,13256,160,319193.64,184533.76,134659.88,Profit
5297,6.08,33.26,259,14762,23,8614.34,33133.72,-24519.38,Loss
1995,20.09,73.32,287,16641,188,21042.84,118401.83,-97358.99,Loss
12534,12.97,65.2,385,11105,56,25102,56632.45,-31530.45,Loss
8629,9.43,101.94,3888,8439,137,396342.72,122231.84,274110.88,Profit
2016,48.05,103.41,1626,5219,106,168144.66,138364.3,29780.36,Profit
9529,31.97,90.69,549,8248,69,49788.81,69828.53,-20039.72,Loss
18262,37.79,78.55,1614,3370,190,126779.7,177625.06,-50845.36,Loss
10268,19.19,114.15,840,5258,192,95886,127645.6,-31759.6,Loss
13185,22.69,100.63,3590,13538,22,361261.7,119180.1,242081.6,Profit
7331,15.66,44.92,3172,6468,32,142486.24,79472.52,63013.72,Profit
9571,9.36,93.94,1185,12159,175,111318.9,120321.6,-9002.7,Loss
8208,13.06,56.87,3994,17982,2,227138.78,79351.64,147787.14,Profit
6276,40.89,123.93,2398,17266,123,297184.14,183096.22,114087.92,Profit
19446,35.49,117.96,4374,8290,85,515957.04,225469.26,290487.78,Profit
17448,29.61,49.31,199,10085,180,9812.69,123425.39,-113612.7,Loss
17216,26.38,96.79,3256,4771,14,315148.24,114880.28,200267.96,Profit
9006,46.51,76.28,3578,4823,37,272929.84,198741.78,74188.06,Profit
3568,8.27,38.72,1674,2538,27,64817.28,33449.98,31367.3,Profit
3027,17.63,47.97,2624,16477,152,125873.28,141765.12,-15891.84,Loss
3695,20.75,93.58,4478,5961,64,419051.24,134574.5,284476.74,Profit
16422,40.21,63.96,4319,8563,70,276243.24,233651.99,42591.25,Profit
6258,49.66,50.75,3334,18869,154,169200.5,267693.44,-98492.94,Loss
7736,15.83,87.64,2158,1762,182,189127.12,134659.14,54467.98,Profit
1391,44.34,62.29,3997,6231,15,248973.13,192348.98,56624.15,Profit
14986,42.38,53.72,4964,10403,29,266666.08,250263.32,16402.76,Profit
13666,15.11,39.62,2313,849,74,91641.06,86464.43,5176.63,Profit
6892,22.97,61.58,1662,940,28,102345.96,60008.14,42337.82,Profit
4561,23.44,71.55,3865,19692,59,276540.75,144348.6,132192.15,Profit
7184,49.02,54.43,4769,14399,73,259576.67,291859.38,-32282.71,Loss
9392,13.14,110.23,627,19446,149,69114.21,111576.78,-42462.57,Loss
14067,40.96,112.85,472,3652,10,53265.2,42052.12,11213.08,Profit
16265,20.04,53.04,2813,10747,132,149201.52,149384.52,-183,Loss
3454,37.89,70.44,1279,19217,62,90092.76,102132.31,-12039.55,Loss
12837,23.9,69.31,3226,10114,132,223594.06,166052.4,57541.66,Profit
15039,31.03,94.03,803,16957,127,75506.09,120413.09,-44907,Loss
11965,42.47,57.96,4892,7449,6,283540.32,230177.24,53363.08,Profit
10762,41.19,60.89,737,2705,80,44875.93,83824.03,-38948.1,Loss
6056,43.99,130.07,772,18355,72,100414.04,94371.28,6042.76,Profit
15948,7.68,34.05,796,13633,16,27103.8,43694.28,-16590.48,Loss
9110,36.14,74.78,4387,18614,38,328059.86,205270.18,122789.68,Profit
14773,11.3,98.56,2762,535,177,272222.72,135018.6,137204.12,Profit
18412,23.71,90.36,757,17904,189,68402.52,148764.47,-80361.95,Loss
1502,29.69,64.52,484,6034,65,31227.68,54405.96,-23178.28,Loss
7910,23.12,91.81,4926,8509,126,452256.06,193308.12,258947.94,Profit
13685,28.38,31.33,533,11452,83,16698.89,81763.54,-65064.65,Loss
1206,49.84,123.67,3568,3035,178,441254.56,271070.12,170184.44,Profit
18868,11.08,60.29,1583,5463,17,95439.07,50370.64,45068.43,Profit
16934,35.4,116.91,219,13207,113,25603.29,94393.6,-68790.31,Loss
18247,22.82,118.33,1070,13360,156,126613.1,134024.4,-7411.3,Loss
9755,10.99,103.64,897,14747,172,92965.08,120360.03,-27394.95,Loss
13383,12.14,103.16,745,17910,140,76854.2,110337.3,-33483.1,Loss
19141,47.72,99.42,3396,18170,70,337630.32,234368.12,103262.2,Profit
15820,44.58,81.23,4063,19730,71,330037.49,252178.54,77858.95,Profit
8574,45.82,92.86,81,9012,131,7521.66,86797.42,-79275.76,Loss
7374,49.62,118.92,226,14387,49,26875.92,57475.12,-30599.2,Loss
2678,14.37,102.89,3014,2793,21,310110.46,59282.18,250828.28,Profit
2059,20.99,42.48,2162,18496,136,91841.76,133935.38,-42093.62,Loss
17198,35.11,127.01,3936,17360,64,499911.36,204750.96,295160.4,Profit
10914,26.77,108.47,1552,11856,187,168345.44,157817.04,10528.4,Profit
11817,23.83,121.74,2365,10518,158,287915.1,157692.95,130222.15,Profit
11921,21.1,109.24,2694,13320,32,294292.56,98084.4,196208.16,Profit
10789,31.72,60.43,115,16433,20,6949.45,40869.8,-33920.35,Loss
17312,30.9,42.39,4278,2447,16,181344.42,159949.2,21395.22,Profit
12252,12.27,24.38,1978,15810,153,48223.64,128832.06,-80608.42,Loss
3693,26.23,56.06,634,16803,60,35542.04,67125.82,-31583.78,Loss
14931,29.91,91.71,1798,15514,173,164894.58,170723.18,-5828.6,Loss
4627,30.66,111.29,2254,18477,137,250847.66,160711.64,90136.02,Profit
17157,14.45,104.48,3680,10439,179,384486.4,170272,214214.4,Profit
11173,38.4,101.15,1942,14965,103,196433.3,152210.8,44222.5,Profit
19047,6.13,7.69,2479,10725,61,19063.51,75468.27,-56404.76,Loss
11230,20.97,40.42,3143,8204,168,127040.06,169342.71,-42302.65,Loss
16707,40.11,50.98,1023,17140,104,52152.54,126879.53,-74726.99,Loss
12494,30.38,67.35,4074,7012,61,274383.9,173774.12,100609.78,Profit
2306,16.75,67.38,2692,3491,195,181386.96,148388,32998.96,Profit
7776,36.27,41.57,1492,18301,76,62022.44,118191.84,-56169.4,Loss
10474,30.53,66.03,4379,8465,15,289145.37,160129.87,129015.5,Profit
8526,40.83,59.57,1527,14230,181,90963.39,175603.41,-84640.02,Loss
6530,38.08,103.14,820,8801,132,84574.8,112556.6,-27981.8,Loss
4748,32.45,79.41,355,19436,151,28190.55,111203.75,-83013.2,Loss
14545,26.97,77.01,51,9749,155,3927.51,103169.47,-99241.96,Loss
1663,10.99,54.33,320,14655,103,17385.6,71334.8,-53949.2,Loss
2998,16.76,112.41,4566,16580,165,513264.06,178604.16,334659.9,Profit
8994,23.86,46.12,3264,2542,171,150535.68,174915.04,-24379.36,Loss
18879,31.97,84.12,913,19065,165,76801.56,149632.61,-72831.05,Loss
4304,28.12,101.99,2789,15334,157,284450.11,176564.68,107885.43,Profit
19237,17.97,74.1,2964,4992,157,219632.4,155992.08,63640.32,Profit
14808,5.29,98.26,156,4058,177,15328.56,108191.24,-92862.68,Loss
7585,27.33,65.75,3218,10313,75,211583.5,143345.94,68237.56,Profit
18675,17.85,64.75,4694,4158,179,303936.5,196120.9,107815.6,Profit
12649,38.06,47.82,2649,16819,178,126675.18,219288.94,-92613.76,Loss
2636,6.08,67.37,2285,19578,28,153940.45,50106.8,103833.65,Profit
18082,31.32,60.85,2849,4384,74,173361.65,148696.68,24664.97,Profit
5737,47.37,64.24,1561,5280,133,100278.64,151461.57,-51182.93,Loss
15555,12.85,67.76,68,6452,125,4607.68,85380.8,-80773.12,Loss
14877,26.22,79.92,908,8017,56,72567.36,74701.76,-2134.4,Loss
1854,9.11,17.62,1466,5606,64,25830.92,52815.26,-26984.34,Loss
6855,33.16,103.28,3082,19050,127,318308.96,191604.12,126704.84,Profit
8392,29.77,92.52,4555,4897,121,421428.6,209391.35,212037.25,Profit
14949,23.33,43.04,1476,13143,89,63527.04,107027.08,-43500.04,Loss
19091,28.46,75.93,2581,15322,17,195975.33,116368.26,79607.07,Profit
6791,45.35,117.66,4769,10962,97,561120.54,282527.15,278593.39,Profit
5931,13.83,67.24,4801,4211,55,322819.24,104039.83,218779.41,Profit
1202,6.02,46.17,4913,2086,137,226833.21,101364.26,125468.95,Profit
12447,43.77,76.68,4088,9906,196,313467.84,299284.76,14183.08,Profit
13688,30.97,92.4,4163,7638,110,384661.2,205254.11,179407.09,Profit
5389,45.08,139.05,2281,8162,16,317173.05,124378.48,192794.57,Profit
3327,31.86,99.36,2502,7904,144,248598.72,162944.72,85654,Profit
9004,41.46,49.86,2896,13833,13,144394.56,149405.16,-5010.6,Loss
8777,24.34,70.95,3252,10337,78,230729.4,137267.68,93461.72,Profit
1197,38.74,127.93,1866,10042,85,238717.38,126027.84,112689.54,Profit
2930,46.09,56.44,1830,16404,73,103285.2,140178.7,-36893.5,Loss
12774,30.75,129.65,4153,9056,191,538436.45,245034.75,293401.7,Profit
16087,13.14,108.1,754,13855,119,81507.4,99349.56,-17842.16,Loss
10339,17.1,25.85,1391,13306,169,35957.35,131931.1,-95973.75,Loss
12589,13.94,107.35,3512,10318,181,377013.2,162364.28,214648.92,Profit
19895,16.11,53.06,3640,15364,68,193138.4,127899.4,65239,Profit
16708,18.79,103.42,1209,1481,74,125034.78,77906.11,47128.67,Profit
18043,29.98,72.4,4676,10728,99,338542.4,218457.48,120084.92,Profit
3811,31.46,76.1,3772,4052,117,287049.2,185030.12,102019.08,Profit
15243,24.19,87.98,3488,17805,137,306874.24,185922.72,120951.52,Profit
7546,32.69,110.36,3610,12438,179,398399.6,227494.9,170904.7,Profit
2986,8.67,13.02,3132,16818,176,40778.64,134958.44,-94179.8,Loss
9338,8.95,68.67,1765,5552,177,121202.55,119186.75,2015.8,Profit
12411,12.73,32.22,2293,5906,146,73880.46,120506.89,-46626.43,Loss
3911,28.31,63.56,1810,18358,138,115043.6,142510.1,-27466.5,Loss
2734,14.63,50.08,4057,13350,115,203174.56,132937.91,70236.65,Profit
19227,17.75,65.19,1846,13101,54,120340.74,92094.5,28246.24,Profit
9680,23.01,57.09,2725,7598,79,155570.25,119480.25,36090,Profit
19343,41.53,53.16,3286,7219,15,174683.76,170529.58,4154.18,Profit
6759,5.62,21.04,93,16356,139,1956.72,93137.66,-91180.94,Loss
3385,34.22,38.53,538,9094,168,20729.14,114889.36,-94160.22,Loss
12111,35.1,82.65,4326,1112,118,357543.9,224065.6,133478.3,Profit
5736,40.94,136.43,3198,7786,112,436303.14,200448.12,235855.02,Profit
2802,46.97,59.42,4773,10568,106,283611.66,290557.81,-6946.15,Loss
9155,5.91,100.59,1006,10305,105,101193.54,77905.46,23288.08,Profit
9120,11.92,85.52,2164,3517,47,185065.28,61931.88,123133.4,Profit
7616,44.88,108.99,1165,10426,118,126973.35,129327.2,-2353.85,Loss
15257,25.63,90.51,1831,12240,126,165723.81,137425.53,28298.28,Profit
15486,30.41,113.26,2876,11072,148,325735.76,188017.16,137718.6,Profit
17646,34.84,46.43,700,16737,98,32501,107771,-75270,Loss
15075,35.56,86.53,1926,10502,150,166656.78,169065.56,-2408.78,Loss
10208,46.93,116.94,390,16318,48,45606.6,68828.7,-23222.1,Loss
17371,49.86,108.96,3000,3701,82,326880,211652,115228,Profit
12835,37.41,120.86,3425,1252,16,413945.5,150216.25,263729.25,Profit
14168,17.92,26.07,2495,8056,133,65044.65,133434.4,-68389.75,Loss
3049,44.59,113.97,2800,1841,193,319116,226242,92874,Profit
6423,7.21,61.08,2194,14481,74,134009.52,73722.74,60286.78,Profit
15589,15.4,53.94,1404,9196,21,75731.76,56906.6,18825.16,Profit
8158,45.38,80.07,3326,15025,61,266312.82,204616.88,61695.94,Profit
11248,16.53,78.99,498,6065,183,39337.02,117044.94,-77707.92,Loss
8400,14.93,104.14,4222,15447,24,439679.08,98881.46,340797.62,Profit
10874,11.22,61.34,4694,8430,23,287929.96,83470.68,204459.28,Profit
16151,43.66,126.31,847,7017,87,106984.57,103648.02,3336.55,Profit
19639,27.5,68.31,3546,14787,139,242227.26,201441,40786.26,Profit
2154,35.37,46.51,4960,12329,175,230689.6,277418.2,-46728.6,Loss
5499,15.76,22.85,2232,2922,2,51001.2,44597.32,6403.88,Profit
7295,39.11,45.19,3376,14460,198,152561.44,252790.36,-100228.92,Loss
13183,39.2,77.83,695,9365,53,54091.85,76292,-22200.15,Loss
13874,19.07,53.46,769,6485,139,41110.74,104523.83,-63413.09,Loss
19032,23.48,95.56,1572,7447,15,150220.32,70889.56,79330.76,Profit
6539,14.44,88.98,1119,14290,140,99568.62,106987.36,-7418.74,Loss
10637,48.95,54.98,4793,15239,122,263519.14,321493.35,-57974.21,Loss
16586,34.05,56.94,4937,11471,123,281112.78,257661.85,23450.93,Profit
3557,47.05,75.2,4724,4168,164,355244.8,311989.2,43255.6,Profit
6592,18.65,73.86,3125,11244,92,230812.5,122117.25,108695.25,Profit
17482,40.19,55.5,3857,5009,23,214063.5,189003.83,25059.67,Profit
3200,39.46,53.72,3411,3000,155,183238.92,218298.06,-35059.14,Loss
15172,36.12,130.56,2206,19677,88,288015.36,158529.72,129485.64,Profit
3961,48.45,129.07,4605,10404,142,594367.35,308477.25,285890.1,Profit
15207,22.71,41.59,2363,17183,182,98277.17,177053.73,-78776.56,Loss
12969,10.88,52.13,3555,12916,99,185322.15,114063.4,71258.75,Profit
3869,35.23,71.44,4189,15333,27,299262.16,180280.47,118981.69,Profit
18340,37.82,117.13,682,18790,21,79882.66,73423.24,6459.42,Profit
14992,30.88,82.39,2249,2985,49,185295.11,111926.12,73368.99,Profit
6699,14.31,27.97,3113,14503,190,87070.61,160749.03,-73678.42,Loss
4987,27.7,101.86,2960,7959,44,301505.6,116938,184567.6,Profit
14446,19.05,59.34,672,6620,44,39876.48,55867.6,-15991.12,Loss
2218,24.24,51.27,410,8985,128,21020.7,85141.4,-64120.7,Loss
5735,34.03,72.2,2417,14751,189,174507.4,197236.51,-22729.11,Loss
12296,38.53,88.81,259,18757,170,23001.79,126032.27,-103030.48,Loss
5555,15.45,50.42,3517,6672,23,177327.14,78064.65,99262.49,Profit
10146,23.24,48.19,980,18972,129,47226.2,116393.2,-69167,Loss
9050,17.11,57.56,4634,6987,125,266733.04,157824.74,108908.3,Profit
13757,13.94,16.84,3993,10464,36,67242.12,97883.42,-30641.3,Loss
18429,40.25,117.73,4746,11555,55,558746.58,248510.5,310236.08,Profit
7893,45.92,63.84,4919,7380,110,314028.96,296153.48,17875.48,Profit
19077,21.66,27.01,927,1028,16,25038.27,48183.82,-23145.55,Loss
15373,38.81,104.53,4845,10825,89,506447.85,258732.45,247715.4,Profit
15565,45.36,122.98,2549,18808,18,313476.02,158995.64,154480.38,Profit
4436,43.08,124.65,2573,17746,38,320724.45,152026.84,168697.61,Profit
9754,13.23,63.09,4401,11054,195,277659.09,176533.23,101125.86,Profit
11677,48.03,69.36,441,15913,20,30587.76,58771.23,-28183.47,Loss
6895,21.95,95.94,3952,14627,19,379154.88,117768.4,261386.48,Profit
